CMD: maintainability_line_counts(scope files expanded, tracked-aware)
apps/s10_gui_operator_tools_v1.ts | tracked=0 | total_lines=96 | added=96 | removed=0 | net=96
docs/sprints/S10/evidence/tools/pr_protocol/S10-EVID-PR/S10-gui-operator-tools-v1_pr_protocol_S10-EVID-PR_20260304T193000Z/pr_threads_after.stderr.txt | tracked=0 | total_lines=0 | added=0 | removed=0 | net=0
docs/sprints/S10/evidence/tools/pr_protocol/S10-EVID-PR/S10-gui-operator-tools-v1_pr_protocol_S10-EVID-PR_20260304T193000Z/pr_threads_after.stdout.txt | tracked=0 | total_lines=0 | added=0 | removed=0 | net=0
docs/sprints/S10/evidence/tools/pr_protocol/S10-EVID-PR/S10-gui-operator-tools-v1_pr_protocol_S10-EVID-PR_20260304T193000Z/pr_threads_before.json | tracked=0 | total_lines=29 | added=29 | removed=0 | net=29
docs/sprints/S10/evidence/tools/pr_protocol/S10-EVID-PR/S10-gui-operator-tools-v1_pr_protocol_S10-EVID-PR_20260304T193000Z/pr_threads_before.stderr.txt | tracked=0 | total_lines=0 | added=0 | removed=0 | net=0
docs/sprints/S10/evidence/tools/pr_protocol/S10-EVID-PR/S10-gui-operator-tools-v1_pr_protocol_S10-EVID-PR_20260304T193000Z/pr_threads_before.stdout.txt | tracked=0 | total_lines=0 | added=0 | removed=0 | net=0
docs/sprints/S10/evidence/tools/pr_protocol/S10-EVID-PR/S10-gui-operator-tools-v1_pr_protocol_S10-EVID-PR_20260304T193000Z/pr_view.json | tracked=0 | total_lines=17 | added=17 | removed=0 | net=17
docs/sprints/S10/evidence/tools/pr_protocol/S10-EVID-PR/S10-gui-operator-tools-v1_pr_protocol_S10-EVID-PR_20260304T193000Z/pr_view.stderr.txt | tracked=0 | total_lines=0 | added=0 | removed=0 | net=0
docs/sprints/S10/evidence/tools/pr_protocol/S10-EVID-PR/S10-gui-operator-tools-v1_pr_protocol_S10-EVID-PR_20260304T193000Z/pr_view.stdout.txt | tracked=0 | total_lines=0 | added=0 | removed=0 | net=0
docs/sprints/S10/evidence/tools/pr_protocol/S10-EVID-PR/S10-gui-operator-tools-v1_pr_protocol_S10-EVID-PR_20260304T193000Z/resolve_thread-1.stderr.txt | tracked=0 | total_lines=0 | added=0 | removed=0 | net=0
docs/sprints/S10/evidence/tools/pr_protocol/S10-EVID-PR/S10-gui-operator-tools-v1_pr_protocol_S10-EVID-PR_20260304T193000Z/resolve_thread-1.stdout.txt | tracked=0 | total_lines=0 | added=0 | removed=0 | net=0
